Time,"ELEVATION Z","Points:0","Points:1","Points:2","VELOCITY U","VELOCITY V","VELOCITY W"
5000,0,218.1,58.418,0,0.19406,-0.0007185,0
5000,0,157.9,62.693,0,0.19558,-0.0017019,0
5000,0,265.43,59.326,0,0.19416,0.0013528,0
5000,0,197,56.819,0,0.19457,-0.001652,0
5000,0,386.9,49.202,0,0.19899,0.00066258,0
5000,0,242.5,56.609,0,0.19443,0.0012638,0
5000,0,368.89,32.744,0,0.20266,0.00054142,0
5000,0,359.5,53.138,0,0.20044,-0.0029902,0
5000,0,398.84,31.108,0,0.19766,0.0017853,0
5000,0,17.05,18.135,0,0.14245,0.047539,0
5000,0,384.04,29.09,0,0.20021,0.0031874,0
5000,0,250.54,25.083,0,0.19131,0.0013501,0
5000,0,274.32,26.988,0,0.19221,0.002717,0
5000,0,340.35,23.806,0,0.1927,0.0064629,0
5000,0,262.2,23.361,0,0.19241,0.0021142,0
5000,0,288.38,27.761,0,0.19338,0.0014785,0
5000,0,174.96,27.883,0,0.18877,0.00033471,0
5000,0,128.7,22.41,0,0.18679,0.0013153,0
5000,0,161.21,27.819,0,0.18911,0.0022137,0
5000,0,188.23,27.073,0,0.18861,-0.00044037,0
5000,0,138.68,20.694,0,0.18808,0.0056629,0
5000,0,148.93,25.107,0,0.1897,0.0039355,0
5000,0,94.478,23.671,0,0.18293,0.00023132,0
5000,0,351.58,33.858,0,0.19446,0.0027762,0
5000,0,71.506,23.015,0,0.17439,0.0016765,0
5000,0,105.87,23.075,0,0.184,-6.255e-05,0
5000,0,49.015,22.945,0,0.16202,0.0019808,0
5000,0,82.931,23.839,0,0.17955,0.00073978,0
5000,0,60.391,22.7,0,0.16865,0.001037,0
5000,0,20.407,39.231,0,0.12919,0.0088401,0
5000,0,19.577,60.907,0,0.13527,-0.013734,0
5000,0,139.49,64.219,0,0.19634,-0.0027124,0
5000,0,56.45,68.679,0,0.18676,-0.0032229,0
5000,0,41.3,71.571,0,0.17717,-0.0031158,0
5000,0,415.61,46.533,0,0.20287,0.00061294,0
5000,0,31.204,80.004,0,0.19602,0.012602,0
5000,0,287.15,61.307,0,0.19358,8.3694e-05,0
5000,0,439.14,54.037,0,0.21005,0.0044778,0
5000,0,237.43,24.868,0,0.19012,0.0015681,0
5000,0,328.28,22.815,0,0.18974,0.00019428,0
5000,0,424.63,27.299,0,0.20208,0.0087245,0
5000,0,411.69,26.575,0,0.19824,0.0014234,0
5000,0,301.78,25.46,0,0.19354,-0.0017271,0
5000,0,438.01,33.611,0,0.2037,0.012929,0
5000,0,315.91,30.328,0,0.1925,2.2641e-05,0
5000,0,117.64,22.718,0,0.18562,0.00028257,0
5000,0,213.4,26.249,0,0.1888,-0.00054583,0
5000,0,38.625,21.9,0,0.14732,0.0042342,0
5000,0,27.591,20.289,0,0.15699,0.0087085,0
5000,0,200.77,26.276,0,0.18848,-0.0013402,0
5000,0,328.91,53.439,0,0.1961,-0.0021265,0
5000,0,130.73,49.28,0,0.18618,0.00013211,0
5000,0,27.626,69.301,0,0.1629,-0.015985,0
5000,0,182.77,43.154,0,0.18973,-0.00088017,0
5000,0,123.74,35.631,0,0.18577,0.0011452,0
5000,0,307.36,62.543,0,0.19486,-0.0041422,0
5000,0,41.84,35.036,0,0.15871,1.4565e-05,0
5000,0,225.2,22.984,0,0.19011,0.00090622,0
5000,0,280.03,42.908,0,0.19241,0.00047132,0
5000,0,80.153,53.337,0,0.17874,-0.0013717,0
5000,0,112.45,34.004,0,0.18563,-0.00091644,0
5000,0,136.96,33.343,0,0.18738,-0.0010476,0
5000,0,30.288,32.267,0,0.14543,-0.00048191,0
5000,0,226.13,39.673,0,0.19073,-0.00050016,0
5000,0,166.55,44.821,0,0.18814,-0.00098016,0
5000,0,64.083,50.099,0,0.16896,0.0007676,0
5000,0,75.527,37.413,0,0.17614,-0.00053743,0
5000,0,46.085,51.867,0,0.16072,-0.0058964,0
5000,0,53.979,36.491,0,0.16423,-0.0014963,0
5000,0,300.64,43.361,0,0.1944,-0.00049017,0
5000,0,149.54,44.133,0,0.18696,4.6311e-05,0
5000,0,243.73,37.866,0,0.1898,0.0015906,0
5000,0,208.94,41.331,0,0.18857,-0.0010849,0
5000,0,260.67,39.358,0,0.1913,-0.00043067,0
5000,0,195.66,39.197,0,0.1886,-0.00039125,0
5000,0,332.57,35.372,0,0.19711,0.0016217,0
5000,0,64.983,34.145,0,0.17605,-0.0032025,0
5000,0,101.19,37.251,0,0.18375,0.00076094,0
5000,0,31.961,57.63,0,0.15146,-0.017995,0
5000,0,88.451,38.254,0,0.18021,0.00013785,0
5000,0,96.023,52.89,0,0.18278,-0.00066923,0
5000,0,32.12,44.325,0,0.14201,0.00077147,0
5000,0,113.63,49.373,0,0.1856,-0.00096632,0
5000,0.51748,0,100,12.5,0.23136,-0,0.00023115
5000,0.5,500,100,12.5,-0.010027,0.022252,0.00033453
5000,0.50467,10,100,12.5,0,0,-0.0024765
5000,0.49865,20.833,100,12.5,0,0,0.00081062
5000,0.50384,32.5,100,12.5,0,0,0.0010918
5000,0.50278,45,100,12.5,0,0,1.0775e-05
5000,0.5029,58.333,100,12.5,0,0,0.00013465
5000,0.50278,72.5,100,12.5,0,0,8.9368e-05
5000,0.50277,87.5,100,12.5,0,0,6.8566e-05
5000,0.50266,103.33,100,12.5,0,0,3.2845e-05
5000,0.50262,120,100,12.5,0,0,2.3695e-05
5000,0.5024,137.5,100,12.5,0,0,1.0559e-05
5000,0.50238,155.83,100,12.5,0,0,-2.8238e-06
5000,0.50207,175,100,12.5,0,0,2.8974e-06
5000,0.50219,195,100,12.5,0,0,8.7933e-06
5000,0.50175,215.83,100,12.5,0,0,2.6829e-05
5000,0.50187,237.5,100,12.5,0,0,1.9147e-05
5000,0.50161,260,100,12.5,0,0,1.4014e-05
5000,0.50155,283.33,100,12.5,0,0,2.488e-06
5000,0.50145,307.5,100,12.5,0,0,-4.7476e-05
5000,0.5013,332.5,100,12.5,0,0,-8.2303e-06
5000,0.50082,358.33,100,12.5,0,0,6.9603e-06
5000,0.50125,385,100,12.5,0,0,-7.1661e-06
5000,0.50016,412.5,100,12.5,0,0,3.4111e-05
5000,0.50125,440.83,100,12.5,0,0,-1.428e-05
5000,0.49975,470,100,12.5,0,0,8.3914e-05
5000,0.5,500,0,12.5,-0.039282,-0.016239,-0.00018533
5000,0.5,500,80,12.5,0.26225,0.027639,6.2009e-05
5000,0.5,500,60,12.5,0.29789,0.030564,-0.00027654
5000,0.5,500,40,12.5,0.30224,0.011542,0.00025203
5000,0.5,500,20,12.5,0.25468,0.027009,-1.8116e-06
5000,0.50653,0,0,12.5,0.23129,-0,-0.00095696
5000,0.49978,485,0,12.5,0,0,0.00015596
5000,0.50165,470.13,0,12.5,0,0,-0.0001621
5000,0.49942,455.38,0,12.5,0,0,-1.417e-05
5000,0.50063,440.77,0,12.5,0,0,-6.628e-05
5000,0.50048,426.28,0,12.5,0,0,-0.00011165
5000,0.50067,411.92,0,12.5,0,0,-4.8304e-06
5000,0.50072,397.69,0,12.5,0,0,3.4529e-05
5000,0.50114,383.59,0,12.5,0,0,8.5308e-05
5000,0.50061,369.62,0,12.5,0,0,9.2844e-05
5000,0.50101,355.77,0,12.5,0,0,-6.9349e-05
5000,0.50138,342.05,0,12.5,0,0,-0.0001866
5000,0.50124,328.46,0,12.5,0,0,1.0719e-05
5000,0.50111,315,0,12.5,0,0,5.4158e-05
5000,0.50156,301.67,0,12.5,0,0,2.0335e-05
5000,0.50123,288.46,0,12.5,0,0,2.2464e-05
5000,0.50171,275.38,0,12.5,0,0,-6.1118e-05
5000,0.50175,262.44,0,12.5,0,0,-1.9208e-05
5000,0.5015,249.62,0,12.5,0,0,3.5926e-05
5000,0.50194,236.92,0,12.5,0,0,-8.1772e-05
5000,0.502,224.36,0,12.5,0,0,-2.7031e-05
5000,0.50179,211.92,0,12.5,0,0,6.2479e-05
5000,0.50205,199.62,0,12.5,0,0,3.6982e-05
5000,0.50211,187.44,0,12.5,0,0,4.0618e-05
5000,0.5021,175.38,0,12.5,0,0,6.0983e-05
5000,0.50211,163.46,0,12.5,0,0,3.039e-05
5000,0.50225,151.67,0,12.5,0,0,-9.093e-05
5000,0.50255,140,0,12.5,0,0,-9.8741e-05
5000,0.50238,128.46,0,12.5,0,0,2.1078e-05
5000,0.50252,117.05,0,12.5,0,0,3.3289e-05
5000,0.50261,105.77,0,12.5,0,0,2.1637e-05
5000,0.50256,94.615,0,12.5,0,0,5.6496e-05
5000,0.50258,83.59,0,12.5,0,0,4.9762e-05
5000,0.50289,72.692,0,12.5,0,0,-5.774e-06
5000,0.50275,61.923,0,12.5,0,0,6.1078e-05
5000,0.50277,51.282,0,12.5,0,0,0.00019864
5000,0.50278,40.769,0,12.5,0,0,0.00012235
5000,0.50368,30.385,0,12.5,0,0,0.00070884
5000,0.49882,20.128,0,12.5,0,0,-0.00023193
5000,0.50631,10,0,12.5,0,0,-0.0015192
5000,0.50146,0,10,12.5,0.23126,-0,0.00014308
5000,0.50433,0,20,12.5,0.23128,-0,0.00094396
5000,0.50331,0,30,12.5,0.23127,-0,0.0006635
5000,0.50347,0,40,12.5,0.23127,-0,0.00070495
5000,0.50311,0,50,12.5,0.23127,-0,0.00063292
5000,0.50365,0,60,12.5,0.23127,-0,0.00074739
5000,0.50304,0,70,12.5,0.23127,-0,0.00046476
5000,0.50345,0,80,12.5,0.23127,-0,0.00071656
5000,0.49468,0,90,12.5,0.23122,-0,-0.0016811
5000,0.50362,7.7841,16.119,12.5,0.18399,-0.014946,0.00041922
5000,0.5033,9.7422,35.009,12.5,0.21751,-0.001598,0.00048342
5000,0.50321,9.8045,54.982,12.5,0.2191,-0.0086157,0.00042317
5000,0.50401,9.4679,75.855,12.5,0.2349,-0.037336,0.00050979
5000,0.50405,12.319,88.474,12.5,0.27678,-0.17161,0.0002303
5000,0.50285,38.483,88.255,12.5,0.18927,-0.0065666,-0.0002385
5000,0.50276,65.353,85.208,12.5,0.21872,0.00077278,-7.4033e-05
5000,0.50267,96.144,84.741,12.5,0.22704,0.0016234,-3.958e-05
5000,0.50247,129.66,83.415,12.5,0.24215,-4.7144e-05,-3.9801e-06
5000,0.50227,166.76,81.258,12.5,0.25455,-0.0031093,1.7134e-05
5000,0.50193,206.85,78.374,12.5,0.26943,-0.0018927,1.4586e-05
5000,0.50168,251.55,78.734,12.5,0.26463,0.0015214,-4.9865e-07
5000,0.50153,296.2,80.2,12.5,0.25545,-0.00042628,-2.1859e-05
5000,0.50116,345.5,76.054,12.5,0.27888,0.0013654,9.1395e-06
5000,0.5008,400.62,72.887,12.5,0.29416,0.002065,1.9519e-05
5000,0.5002,457.08,72.229,12.5,0.30189,-6.2792e-05,1.6877e-05
5000,0.4999,481.99,78.147,12.5,0.27562,0.029184,3.4774e-05
5000,0.50045,479.85,51.621,12.5,0.29511,0.016203,-9.3855e-06
5000,0.50072,463.18,16.316,12.5,0.2459,0.017042,-6.0652e-05
5000,0.50076,433.39,14.708,12.5,0.25527,0.014809,-8.1636e-05
5000,0.50082,404.43,13.94,12.5,0.26013,-0.0013688,1.5859e-05
5000,0.50085,376.06,15.14,12.5,0.2748,-0.0060746,4.572e-05
5000,0.50124,349.03,13.591,12.5,0.26942,0.016467,-6.5491e-05
5000,0.5014,321.18,12.077,12.5,0.25877,-0.0074889,3.601e-05
5000,0.50151,294.98,12.977,12.5,0.26602,-0.00044805,2.7122e-05
5000,0.50166,268.96,12.115,12.5,0.26182,0.0068385,-4.0613e-05
5000,0.50181,243.74,12.463,12.5,0.27075,0.0023457,-2.9565e-06
5000,0.50196,218.32,11.567,12.5,0.25995,-0.0059764,-8.7912e-06
5000,0.50205,194.09,12.794,12.5,0.27384,0.00013243,2.0152e-05
5000,0.50223,168.99,12.829,12.5,0.27786,0.0015484,6.544e-05
5000,0.50249,145.45,11.151,12.5,0.26739,0.0096294,-5.5613e-05
5000,0.50257,122.79,10.843,12.5,0.26835,-0.0034314,2.9252e-06
5000,0.50268,99.954,11.275,12.5,0.27138,-0.0020501,-4.3629e-05
5000,0.50277,77.745,11.382,12.5,0.27304,0.0027806,-0.00010508
5000,0.50299,55.839,10.681,12.5,0.26498,-0.0020572,-8.4276e-05
5000,0.50301,34.774,9.9976,12.5,0.2735,0.011049,-8.6925e-05
5000,0.50447,13.274,8.3322,12.5,0.33324,0.10835,3.2759e-05
5000,0.49991,480.72,23.911,12.5,0.3008,0.032931,-1.5701e-05
5000,0.50278,8.9936,25.039,12.5,0.24227,0.02029,0.00021825
5000,0.50331,10.061,44.762,12.5,0.22978,-0.006505,0.00047385
5000,0.50344,9.0588,65.101,12.5,0.23529,-0.019774,0.00045463
5000,0.50232,25.891,89.893,12.5,0.1233,0.065186,0.0003214
5000,0.50269,50.829,85.819,12.5,0.21636,0.0027901,-0.00020695
5000,0.50255,80.554,84.928,12.5,0.22188,0.0037017,-7.9033e-05
